Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,lat,lon,year,month,day,day_of_year,BA,cause,state,fire_id,fire_name,sfi,fm100,fm1000,vpd,erc,bi,vs,NPP,GDP,Popu,LTC,lat_idx,lon_idx,time_idx,eco_id,fire_class
640231,640231,230,46.82528,-122.9281,2017,7,1,182,6.82,Human,WA,400127316,VIOLET PLANTATION,90.95890045166016,14.60535717010498,17.346427917480472,0.7049999833106995,83.83561706542969,91.50685119628906,3.1910715103149414,1.9641557282367927,132780208.0,-0.021482432473825648,0.0,10,7,210,7.0,1.0
483873,483873,3872,43.33861,-124.26583,2011,6,18,169,6.8,Human,OR,201131279,LIBBY LANE,74.79451751708984,15.537500381469728,19.762500762939453,0.3974999785423279,72.60273742675781,76.4383544921875,3.462500095367432,2.583478610717909,15957393.0,-0.044903021858742724,0.0,24,2,137,7.0,1.0
671370,671370,1369,43.38083,-123.55111,2018,5,23,143,6.8,Human,OR,400345550,HUBBARD CREEK,71.78082275390625,15.0625,18.625,0.387499988079071,68.49314880371094,71.23287963867188,3.1000001430511475,2.559974388506261,245553.0625,-0.30252950509283055,11.0,24,4,220,7.0,1.0
344463,344463,4462,45.879,-123.79154,2000,11,21,326,6.7,Human,OR,860493,SUMMIT ML. FIRE,75.61643981933594,18.178571701049805,26.30842018127441,0.2794387638568878,64.93150329589844,71.23287963867188,2.308418273925781,2.260791084869879,4850135.5,-0.2523425278394368,2.0,14,3,10,7.0,1.0
538758,538758,8757,47.5261,-124.0787,2013,8,7,219,6.7,Human,WA,201816034,WEST BOUNDRY RD,100.0,16.245918273925778,17.572959899902347,0.6194642782211304,100.0,100.0,4.2635207176208505,2.70457626988093,362802.875,-0.30252950509283055,0.0,7,2,163,7.0,1.0
587282,587282,7281,37.46381,-122.298,2015,10,3,276,6.7,Human,CA,300308062,EDGEWOOD,76.4383544921875,16.64030647277832,15.2926025390625,0.6234438419342041,60.0,96.71232604980467,3.604591846466065,-1.5607684772739354,6160397312.0,2.4577542438438247,0.0,47,9,189,7.0,1.0
665394,665394,5393,48.464317,-123.020292,2018,7,15,196,6.7,Human,WA,400313486,AMERICAN CAMP,100.0,14.760714530944824,16.700000762939453,1.1307142972946167,100.0,100.0,1.7410715818405151,1.6166811732690607,29876912.0,-0.1820807596846856,0.0,3,7,222,7.0,1.0
539684,539684,9683,42.94916667,-124.15861111,2013,5,4,124,6.6,Human,OR,201817840,ECKLEY MTN LN,100.0,10.170153617858888,17.95612144470215,1.3899999856948853,100.0,100.0,5.9140305519104,3.640100749556557,15331884.0,-0.26572572177367515,2.0,25,2,160,7.0,1.0
336691,336691,6690,43.20011,-124.1537,1992,10,24,298,6.5,Human,OR,849265,CAWFIELD CREEK,73.15068817138672,20.30000114440918,20.55000114440918,0.5974999666213989,69.86301422119139,73.97260284423828,3.125,2.72221069353587,16217312.0,-0.0482488203423023,0.0,24,2,-87,7.0,1.0
347407,347407,7406,46.93256,-122.78886,1992,8,20,233,6.5,Human,WA,863619,,100.0,12.785969734191896,13.533673286437988,1.1337244510650637,100.0,100.0,2.910459280014038,2.0006156131770663,1746481152.0,0.8584625687023444,6.0,9,7,-89,7.0,1.0
355930,355930,5929,45.37742,-123.20955,1993,8,29,241,6.5,Human,OR,872528,OAK HILL RD. #2,100.0,12.202040672302244,13.95255184173584,1.35469388961792,95.06849670410156,100.0,3.899744749069214,2.2087529969880335,107934568.0,0.0253587462960085,24.0,16,6,-77,7.0,1.0
392861,392861,2860,37.08,-122.06305555,2008,5,22,143,6.5,Human,CA,1330091,PGE 3,100.0,8.304592132568361,10.403826713562012,0.8809948563575745,87.123291015625,100.0,11.55076503753662,4.303814934440828,20926080.0,0.055470932648044737,0.0,49,10,100,7.0,1.0
513841,513841,3840,47.1779,-123.9096,2012,9,6,250,6.5,Human,WA,201616552,HENSEL 1,100.0,17.55000114440918,18.361989974975582,0.7126019597053528,98.35616302490234,99.7260284423828,2.573979616165161,1.2737994988875863,157444.59375,-0.29583790812571137,0.0,8,3,152,7.0,1.0
677468,677468,7467,39.01374000000001,-123.323872,2018,7,22,203,6.5,Human,CA,400371471,SODA,83.01370239257812,7.636989593505858,9.63698959350586,2.1703314781188965,100.0,70.41095733642578,3.745918273925781,2.739672865765896,336354.96875,-0.2891463111585922,2.0,41,5,222,7.0,1.0
317317,317317,7316,46.68249998,-123.24660001,2005,3,14,73,6.4,Human,WA,730962,BUNKER CREEK ROAD,84.65753173828125,14.823214530944824,20.6875,0.7182142734527588,76.71232604980469,85.20548248291016,3.049999952316284,2.350315205069479,21986228.0,-0.23895933390519847,0.0,10,6,62,7.0,1.0
467802,467802,7801,46.82088,-123.28023,2008,8,8,221,6.4,Human,WA,1754793,TRIPLE 8,100.0,12.58571434020996,12.867857933044435,0.854107141494751,100.0,100.0,4.200000286102295,1.8613569611883543,22884194.0,-0.2356135354216389,2.0,10,6,103,7.0,1.0
562547,562547,2546,45.9738,-122.8141,2014,8,8,220,6.4,Human,WA,300134547,28 I-5,100.0,13.743367195129396,14.98035717010498,0.7663010358810425,95.06849670410156,100.0,3.708673477172852,1.7732454498964938,56215920.0,0.16922808108907053,65.0,13,7,175,7.0,1.0
